District,Year,Month,Season,Crop,Soil Type,Soil_Water_Capacity,Temperature_C,Humidity_Percent,Rainfall_mm,Wind_Speed,Solar_Radiation,Crop_Water_Demand_mm,Water_Balance_mm,Water_Shortage_Level,Date
Lahore,2015,2,Rabi,Maize,Clayey,200.0,16.19,52.3,72.8,1.54,3.83,85.57,-83.84,2,2015-02-01
Lahore,2015,2,Rabi,Pulses,Clayey,200.0,16.19,52.3,72.8,1.54,3.83,71.31,-69.58,2,2015-02-01
Lahore,2015,2,Rabi,Millets,Black,180.0,16.19,52.3,72.8,1.54,3.83,57.05,-55.32,2,2015-02-01
Lahore,2015,2,Rabi,Sugarcane,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,178.27,-176.54,3,2015-02-01
Lahore,2015,2,Rabi,Mungbean,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,99.83,-98.1,2,2015-02-01
Lahore,2015,2,Rabi,Blackgram,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,99.83,-98.1,2,2015-02-01
Lahore,2015,2,Rabi,Lentil,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,99.83,-98.1,2,2015-02-01
Lahore,2015,2,Rabi,Wheat,Clayey,200.0,16.19,52.3,72.8,1.54,3.83,71.31,-69.58,2,2015-02-01
Lahore,2015,2,Rabi,Banana,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,99.83,-98.1,2,2015-02-01
Lahore,2015,2,Rabi,Mango,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,99.83,-98.1,2,2015-02-01
Lahore,2015,2,Rabi,Grapes,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,99.83,-98.1,2,2015-02-01
Lahore,2015,2,Rabi,Cotton,Loamy,140.0,16.19,52.3,72.8,1.54,3.83,106.96,-105.23,2,2015-02-01
Lahore,2015,3,Rabi,Paddy,Red,120.0,19.27,60.59,139.5,1.59,4.69,182.5,-178.76,3,2015-03-01
Lahore,2015,3,Rabi,Maize,Clayey,200.0,19.27,60.59,139.5,1.59,4.69,95.22,-91.48,2,2015-03-01
Lahore,2015,3,Rabi,Pulses,Clayey,200.0,19.27,60.59,139.5,1.59,4.69,79.35,-75.61,2,2015-03-01
Lahore,2015,3,Rabi,Millets,Black,180.0,19.27,60.59,139.5,1.59,4.69,63.48,-59.74,2,2015-03-01
Lahore,2015,3,Rabi,Sugarcane,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,198.37,-194.63,3,2015-03-01
Lahore,2015,3,Rabi,Mungbean,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,111.08,-107.34,2,2015-03-01
Lahore,2015,3,Rabi,Blackgram,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,111.08,-107.34,2,2015-03-01
Lahore,2015,3,Rabi,Lentil,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,111.08,-107.34,2,2015-03-01
Lahore,2015,3,Rabi,Wheat,Clayey,200.0,19.27,60.59,139.5,1.59,4.69,79.35,-75.61,2,2015-03-01
Lahore,2015,3,Rabi,Banana,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,111.08,-107.34,2,2015-03-01
Lahore,2015,3,Rabi,Mango,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,111.08,-107.34,2,2015-03-01
Lahore,2015,3,Rabi,Grapes,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,111.08,-107.34,2,2015-03-01
Lahore,2015,3,Rabi,Cotton,Loamy,140.0,19.27,60.59,139.5,1.59,4.69,119.02,-115.28,2,2015-03-01
Lahore,2015,4,Kharif,Paddy,Red,120.0,26.77,49.34,51.4,1.57,5.94,245.74,-244.84,3,2015-04-01
Lahore,2015,4,Kharif,Maize,Clayey,200.0,26.77,49.34,51.4,1.57,5.94,128.21,-127.31,2,2015-04-01
Lahore,2015,4,Kharif,Pulses,Clayey,200.0,26.77,49.34,51.4,1.57,5.94,106.85,-105.95,2,2015-04-01
Lahore,2015,4,Kharif,Millets,Black,180.0,26.77,49.34,51.4,1.57,5.94,85.48,-84.58,2,2015-04-01
Lahore,2015,4,Kharif,Sugarcane,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,267.11,-266.21,3,2015-04-01
Lahore,2015,4,Kharif,Mungbean,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,149.58,-148.68,2,2015-04-01
Lahore,2015,4,Kharif,Blackgram,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,149.58,-148.68,2,2015-04-01
Lahore,2015,4,Kharif,Lentil,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,149.58,-148.68,2,2015-04-01
Lahore,2015,4,Kharif,Wheat,Clayey,200.0,26.77,49.34,51.4,1.57,5.94,106.85,-105.95,2,2015-04-01
Lahore,2015,4,Kharif,Banana,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,149.58,-148.68,2,2015-04-01
Lahore,2015,4,Kharif,Mango,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,149.58,-148.68,2,2015-04-01
Lahore,2015,4,Kharif,Grapes,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,149.58,-148.68,2,2015-04-01
Lahore,2015,4,Kharif,Cotton,Loamy,140.0,26.77,49.34,51.4,1.57,5.94,160.27,-159.37,3,2015-04-01
Lahore,2015,5,Kharif,Paddy,Red,120.0,33.79,26.12,6.0,1.84,7.19,323.09,-322.39,3,2015-05-01
Lahore,2015,5,Kharif,Maize,Clayey,200.0,33.79,26.12,6.0,1.84,7.19,168.57,-167.87,3,2015-05-01
Lahore,2015,5,Kharif,Pulses,Clayey,200.0,33.79,26.12,6.0,1.84,7.19,140.48,-139.78,2,2015-05-01
Lahore,2015,5,Kharif,Millets,Black,180.0,33.79,26.12,6.0,1.84,7.19,112.38,-111.68,2,2015-05-01
Lahore,2015,5,Kharif,Sugarcane,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,351.19,-350.49,3,2015-05-01
Lahore,2015,5,Kharif,Mungbean,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,196.67,-195.97,3,2015-05-01
Lahore,2015,5,Kharif,Blackgram,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,196.67,-195.97,3,2015-05-01
Lahore,2015,5,Kharif,Lentil,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,196.67,-195.97,3,2015-05-01
Lahore,2015,5,Kharif,Wheat,Clayey,200.0,33.79,26.12,6.0,1.84,7.19,140.48,-139.78,2,2015-05-01
Lahore,2015,5,Kharif,Banana,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,196.67,-195.97,3,2015-05-01
Lahore,2015,5,Kharif,Mango,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,196.67,-195.97,3,2015-05-01
Lahore,2015,5,Kharif,Grapes,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,196.67,-195.97,3,2015-05-01
Lahore,2015,5,Kharif,Cotton,Loamy,140.0,33.79,26.12,6.0,1.84,7.19,210.71,-210.01,3,2015-05-01
Lahore,2015,6,Kharif,Paddy,Red,120.0,35.75,30.17,49.0,1.83,6.6,300.21,-298.69,3,2015-06-01
Lahore,2015,6,Kharif,Maize,Clayey,200.0,35.75,30.17,49.0,1.83,6.6,156.63,-155.11,3,2015-06-01
Lahore,2015,6,Kharif,Pulses,Clayey,200.0,35.75,30.17,49.0,1.83,6.6,130.53,-129.01,2,2015-06-01
Lahore,2015,6,Kharif,Millets,Black,180.0,35.75,30.17,49.0,1.83,6.6,104.42,-102.9,2,2015-06-01
Lahore,2015,6,Kharif,Sugarcane,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,326.31,-324.79,3,2015-06-01
Lahore,2015,6,Kharif,Mungbean,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,182.74,-181.22,3,2015-06-01
Lahore,2015,6,Kharif,Blackgram,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,182.74,-181.22,3,2015-06-01
Lahore,2015,6,Kharif,Lentil,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,182.74,-181.22,3,2015-06-01
Lahore,2015,6,Kharif,Wheat,Clayey,200.0,35.75,30.17,49.0,1.83,6.6,130.53,-129.01,2,2015-06-01
Lahore,2015,6,Kharif,Banana,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,182.74,-181.22,3,2015-06-01
Lahore,2015,6,Kharif,Mango,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,182.74,-181.22,3,2015-06-01
Lahore,2015,6,Kharif,Grapes,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,182.74,-181.22,3,2015-06-01
Lahore,2015,6,Kharif,Cotton,Loamy,140.0,35.75,30.17,49.0,1.83,6.6,195.79,-194.27,3,2015-06-01
Lahore,2015,7,Kharif,Paddy,Red,120.0,34.03,50.62,183.1,1.7,5.11,226.24,-221.89,3,2015-07-01
Lahore,2015,7,Kharif,Maize,Clayey,200.0,34.03,50.62,183.1,1.7,5.11,118.04,-113.69,2,2015-07-01
Lahore,2015,7,Kharif,Pulses,Clayey,200.0,34.03,50.62,183.1,1.7,5.11,98.37,-94.02,2,2015-07-01
Lahore,2015,7,Kharif,Millets,Black,180.0,34.03,50.62,183.1,1.7,5.11,78.69,-74.34,2,2015-07-01
Lahore,2015,7,Kharif,Sugarcane,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,245.92,-241.57,3,2015-07-01
Lahore,2015,7,Kharif,Mungbean,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,137.71,-133.36,2,2015-07-01
Lahore,2015,7,Kharif,Blackgram,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,137.71,-133.36,2,2015-07-01
Lahore,2015,7,Kharif,Lentil,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,137.71,-133.36,2,2015-07-01
Lahore,2015,7,Kharif,Wheat,Clayey,200.0,34.03,50.62,183.1,1.7,5.11,98.37,-94.02,2,2015-07-01
Lahore,2015,7,Kharif,Banana,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,137.71,-133.36,2,2015-07-01
Lahore,2015,7,Kharif,Mango,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,137.71,-133.36,2,2015-07-01
Lahore,2015,7,Kharif,Grapes,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,137.71,-133.36,2,2015-07-01
Lahore,2015,7,Kharif,Cotton,Loamy,140.0,34.03,50.62,183.1,1.7,5.11,147.55,-143.2,2,2015-07-01
Lahore,2015,8,Kharif,Paddy,Red,120.0,33.34,51.89,134.9,1.52,5.27,228.99,-226.35,3,2015-08-01
Lahore,2015,8,Kharif,Maize,Clayey,200.0,33.34,51.89,134.9,1.52,5.27,119.47,-116.83,2,2015-08-01
Lahore,2015,8,Kharif,Pulses,Clayey,200.0,33.34,51.89,134.9,1.52,5.27,99.56,-96.92,2,2015-08-01
Lahore,2015,8,Kharif,Millets,Black,180.0,33.34,51.89,134.9,1.52,5.27,79.65,-77.01,2,2015-08-01
Lahore,2015,8,Kharif,Sugarcane,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,248.9,-246.26,3,2015-08-01
Lahore,2015,8,Kharif,Mungbean,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,139.39,-136.75,2,2015-08-01
Lahore,2015,8,Kharif,Blackgram,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,139.39,-136.75,2,2015-08-01
Lahore,2015,8,Kharif,Lentil,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,139.39,-136.75,2,2015-08-01
Lahore,2015,8,Kharif,Wheat,Clayey,200.0,33.34,51.89,134.9,1.52,5.27,99.56,-96.92,2,2015-08-01
Lahore,2015,8,Kharif,Banana,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,139.39,-136.75,2,2015-08-01
Lahore,2015,8,Kharif,Mango,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,139.39,-136.75,2,2015-08-01
Lahore,2015,8,Kharif,Grapes,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,139.39,-136.75,2,2015-08-01
Lahore,2015,8,Kharif,Cotton,Loamy,140.0,33.34,51.89,134.9,1.52,5.27,149.34,-146.7,2,2015-08-01
Lahore,2015,9,Kharif,Paddy,Red,120.0,31.05,40.05,62.5,1.32,5.44,238.29,-235.98,3,2015-09-01
Lahore,2015,9,Kharif,Maize,Clayey,200.0,31.05,40.05,62.5,1.32,5.44,124.32,-122.01,2,2015-09-01
Lahore,2015,9,Kharif,Pulses,Clayey,200.0,31.05,40.05,62.5,1.32,5.44,103.6,-101.29,2,2015-09-01
Lahore,2015,9,Kharif,Millets,Black,180.0,31.05,40.05,62.5,1.32,5.44,82.88,-80.57,2,2015-09-01
Lahore,2015,9,Kharif,Sugarcane,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,259.01,-256.7,3,2015-09-01
Lahore,2015,9,Kharif,Mungbean,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,145.04,-142.73,2,2015-09-01
Lahore,2015,9,Kharif,Blackgram,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,145.04,-142.73,2,2015-09-01
Lahore,2015,9,Kharif,Lentil,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,145.04,-142.73,2,2015-09-01
Lahore,2015,9,Kharif,Wheat,Clayey,200.0,31.05,40.05,62.5,1.32,5.44,103.6,-101.29,2,2015-09-01
Lahore,2015,9,Kharif,Banana,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,145.04,-142.73,2,2015-09-01
Lahore,2015,9,Kharif,Mango,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,145.04,-142.73,2,2015-09-01
Lahore,2015,9,Kharif,Grapes,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,145.04,-142.73,2,2015-09-01
Lahore,2015,9,Kharif,Cotton,Loamy,140.0,31.05,40.05,62.5,1.32,5.44,155.4,-153.09,3,2015-09-01
Lahore,2015,10,Rabi,Paddy,Red,120.0,26.33,42.78,28.1,1.22,4.57,198.57,-198.22,3,2015-10-01
Lahore,2015,10,Rabi,Maize,Clayey,200.0,26.33,42.78,28.1,1.22,4.57,103.6,-103.25,2,2015-10-01
Lahore,2015,10,Rabi,Pulses,Clayey,200.0,26.33,42.78,28.1,1.22,4.57,86.33,-85.98,2,2015-10-01
Lahore,2015,10,Rabi,Millets,Black,180.0,26.33,42.78,28.1,1.22,4.57,69.07,-68.72,2,2015-10-01
Lahore,2015,10,Rabi,Sugarcane,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,215.84,-215.49,3,2015-10-01
Lahore,2015,10,Rabi,Mungbean,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,120.87,-120.52,2,2015-10-01
Lahore,2015,10,Rabi,Blackgram,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,120.87,-120.52,2,2015-10-01
Lahore,2015,10,Rabi,Lentil,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,120.87,-120.52,2,2015-10-01
Lahore,2015,10,Rabi,Wheat,Clayey,200.0,26.33,42.78,28.1,1.22,4.57,86.33,-85.98,2,2015-10-01
Lahore,2015,10,Rabi,Banana,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,120.87,-120.52,2,2015-10-01
Lahore,2015,10,Rabi,Mango,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,120.87,-120.52,2,2015-10-01
Lahore,2015,10,Rabi,Grapes,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,120.87,-120.52,2,2015-10-01
Lahore,2015,10,Rabi,Cotton,Loamy,140.0,26.33,42.78,28.1,1.22,4.57,129.5,-129.15,2,2015-10-01
Lahore,2015,11,Rabi,Paddy,Red,120.0,20.02,37.86,7.4,1.42,3.31,163.51,-163.46,3,2015-11-01
Lahore,2015,11,Rabi,Maize,Clayey,200.0,20.02,37.86,7.4,1.42,3.31,85.31,-85.26,2,2015-11-01
Lahore,2015,11,Rabi,Pulses,Clayey,200.0,20.02,37.86,7.4,1.42,3.31,71.09,-71.04,2,2015-11-01
Lahore,2015,11,Rabi,Millets,Black,180.0,20.02,37.86,7.4,1.42,3.31,56.87,-56.82,2,2015-11-01
Lahore,2015,11,Rabi,Sugarcane,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,177.73,-177.68,3,2015-11-01
Lahore,2015,11,Rabi,Mungbean,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,99.53,-99.48,2,2015-11-01
Lahore,2015,11,Rabi,Blackgram,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,99.53,-99.48,2,2015-11-01
Lahore,2015,11,Rabi,Lentil,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,99.53,-99.48,2,2015-11-01
Lahore,2015,11,Rabi,Wheat,Clayey,200.0,20.02,37.86,7.4,1.42,3.31,71.09,-71.04,2,2015-11-01
Lahore,2015,11,Rabi,Banana,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,99.53,-99.48,2,2015-11-01
Lahore,2015,11,Rabi,Mango,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,99.53,-99.48,2,2015-11-01
Lahore,2015,11,Rabi,Grapes,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,99.53,-99.48,2,2015-11-01
Lahore,2015,11,Rabi,Cotton,Loamy,140.0,20.02,37.86,7.4,1.42,3.31,106.64,-106.59,2,2015-11-01
Lahore,2015,12,Rabi,Paddy,Red,120.0,15.12,32.67,5.7,1.46,3.1,166.46,-166.39,3,2015-12-01
Lahore,2015,12,Rabi,Maize,Clayey,200.0,15.12,32.67,5.7,1.46,3.1,86.85,-86.78,2,2015-12-01
Lahore,2015,12,Rabi,Pulses,Clayey,200.0,15.12,32.67,5.7,1.46,3.1,72.37,-72.3,2,2015-12-01
Lahore,2015,12,Rabi,Millets,Black,180.0,15.12,32.67,5.7,1.46,3.1,57.9,-57.83,2,2015-12-01
Lahore,2015,12,Rabi,Sugarcane,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,180.93,-180.86,3,2015-12-01
Lahore,2015,12,Rabi,Mungbean,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,101.32,-101.25,2,2015-12-01
Lahore,2015,12,Rabi,Blackgram,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,101.32,-101.25,2,2015-12-01
Lahore,2015,12,Rabi,Lentil,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,101.32,-101.25,2,2015-12-01
Lahore,2015,12,Rabi,Wheat,Clayey,200.0,15.12,32.67,5.7,1.46,3.1,72.37,-72.3,2,2015-12-01
Lahore,2015,12,Rabi,Banana,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,101.32,-101.25,2,2015-12-01
Lahore,2015,12,Rabi,Mango,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,101.32,-101.25,2,2015-12-01
Lahore,2015,12,Rabi,Grapes,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,101.32,-101.25,2,2015-12-01
Lahore,2015,12,Rabi,Cotton,Loamy,140.0,15.12,32.67,5.7,1.46,3.1,108.56,-108.49,2,2015-12-01
Lahore,2016,1,Rabi,Paddy,Red,120.0,14.19,39.7,26.2,1.29,2.46,134.84,-134.21,2,2016-01-01
Lahore,2016,1,Rabi,Maize,Clayey,200.0,14.19,39.7,26.2,1.29,2.46,70.35,-69.72,2,2016-01-01
Lahore,2016,1,Rabi,Pulses,Clayey,200.0,14.19,39.7,26.2,1.29,2.46,58.63,-58.0,2,2016-01-01
Lahore,2016,1,Rabi,Millets,Black,180.0,14.19,39.7,26.2,1.29,2.46,46.9,-46.27,1,2016-01-01
Lahore,2016,1,Rabi,Sugarcane,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,146.57,-145.94,2,2016-01-01
Lahore,2016,1,Rabi,Mungbean,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,82.08,-81.45,2,2016-01-01
Lahore,2016,1,Rabi,Blackgram,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,82.08,-81.45,2,2016-01-01
Lahore,2016,1,Rabi,Lentil,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,82.08,-81.45,2,2016-01-01
Lahore,2016,1,Rabi,Wheat,Clayey,200.0,14.19,39.7,26.2,1.29,2.46,58.63,-58.0,2,2016-01-01
Lahore,2016,1,Rabi,Banana,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,82.08,-81.45,2,2016-01-01
Lahore,2016,1,Rabi,Mango,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,82.08,-81.45,2,2016-01-01
Lahore,2016,1,Rabi,Grapes,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,82.08,-81.45,2,2016-01-01
Lahore,2016,1,Rabi,Cotton,Loamy,140.0,14.19,39.7,26.2,1.29,2.46,87.94,-87.31,2,2016-01-01
Lahore,2016,2,Rabi,Paddy,Red,120.0,16.62,36.78,15.3,1.46,4.44,197.77,-197.5,3,2016-02-01
Lahore,2016,2,Rabi,Maize,Clayey,200.0,16.62,36.78,15.3,1.46,4.44,103.19,-102.92,2,2016-02-01
Lahore,2016,2,Rabi,Pulses,Clayey,200.0,16.62,36.78,15.3,1.46,4.44,85.99,-85.72,2,2016-02-01
Lahore,2016,2,Rabi,Millets,Black,180.0,16.62,36.78,15.3,1.46,4.44,68.79,-68.52,2,2016-02-01
Lahore,2016,2,Rabi,Sugarcane,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,214.97,-214.7,3,2016-02-01
Lahore,2016,2,Rabi,Mungbean,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,120.38,-120.11,2,2016-02-01
Lahore,2016,2,Rabi,Blackgram,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,120.38,-120.11,2,2016-02-01
Lahore,2016,2,Rabi,Lentil,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,120.38,-120.11,2,2016-02-01
Lahore,2016,2,Rabi,Wheat,Clayey,200.0,16.62,36.78,15.3,1.46,4.44,85.99,-85.72,2,2016-02-01
Lahore,2016,2,Rabi,Banana,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,120.38,-120.11,2,2016-02-01
Lahore,2016,2,Rabi,Mango,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,120.38,-120.11,2,2016-02-01
Lahore,2016,2,Rabi,Grapes,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,120.38,-120.11,2,2016-02-01
Lahore,2016,2,Rabi,Cotton,Loamy,140.0,16.62,36.78,15.3,1.46,4.44,128.98,-128.71,2,2016-02-01
Lahore,2016,3,Rabi,Paddy,Red,120.0,22.75,43.64,87.8,1.65,5.06,217.87,-216.77,3,2016-03-01
Lahore,2016,3,Rabi,Maize,Clayey,200.0,22.75,43.64,87.8,1.65,5.06,113.67,-112.57,2,2016-03-01
Lahore,2016,3,Rabi,Pulses,Clayey,200.0,22.75,43.64,87.8,1.65,5.06,94.73,-93.63,2,2016-03-01
Lahore,2016,3,Rabi,Millets,Black,180.0,22.75,43.64,87.8,1.65,5.06,75.78,-74.68,2,2016-03-01
Lahore,2016,3,Rabi,Sugarcane,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,236.82,-235.72,3,2016-03-01
Lahore,2016,3,Rabi,Mungbean,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,132.62,-131.52,2,2016-03-01
Lahore,2016,3,Rabi,Blackgram,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,132.62,-131.52,2,2016-03-01
Lahore,2016,3,Rabi,Lentil,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,132.62,-131.52,2,2016-03-01
Lahore,2016,3,Rabi,Wheat,Clayey,200.0,22.75,43.64,87.8,1.65,5.06,94.73,-93.63,2,2016-03-01
Lahore,2016,3,Rabi,Banana,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,132.62,-131.52,2,2016-03-01
Lahore,2016,3,Rabi,Mango,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,132.62,-131.52,2,2016-03-01
Lahore,2016,3,Rabi,Grapes,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,132.62,-131.52,2,2016-03-01
Lahore,2016,3,Rabi,Cotton,Loamy,140.0,22.75,43.64,87.8,1.65,5.06,142.09,-140.99,2,2016-03-01
Lahore,2016,4,Kharif,Paddy,Red,120.0,29.45,26.76,2.9,2.23,6.34,293.78,-293.67,3,2016-04-01
Lahore,2016,4,Kharif,Maize,Clayey,200.0,29.45,26.76,2.9,2.23,6.34,153.27,-153.16,3,2016-04-01
Lahore,2016,4,Kharif,Pulses,Clayey,200.0,29.45,26.76,2.9,2.23,6.34,127.73,-127.62,2,2016-04-01
Lahore,2016,4,Kharif,Millets,Black,180.0,29.45,26.76,2.9,2.23,6.34,102.18,-102.07,2,2016-04-01
Lahore,2016,4,Kharif,Sugarcane,Loamy,140.0,29.45,26.76,2.9,2.23,6.34,319.32,-319.21,3,2016-04-01
Lahore,2016,4,Kharif,Mungbean,Loamy,140.0,29.45,26.76,2.9,2.23,6.34,178.82,-178.71,3,2016-04-01
Lahore,2016,4,Kharif,Blackgram,Loamy,140.0,29.45,26.76,2.9,2.23,6.34,178.82,-178.71,3,2016-04-01
Lahore,2016,4,Kharif,Lentil,Loamy,140.0,29.45,26.76,2.9,2.23,6.34,178.82,-178.71,3,2016-04-01
Lahore,2016,4,Kharif,Wheat,Clayey,200.0,29.45,26.76,2.9,2.23,6.34,127.73,-127.62,2,2016-04-01
Lahore,2016,4,Kharif,Banana,Loamy,140.0,29.45,26.76,2.9,2.23,6.34,178.82,-178.71,3,2016-04-01
Lahore,2016,4,Kharif,Mango,Loamy,140.0,29.45,26.76,2.9,2.23,6.34,178.82,-178.71,3,2016-04-01
